"","SrcID_Feat","unit","mean_dist"
"344",1601,47,836.630329805177
"345",3669,47,984.885803223
"346",3827,47,974.341644287
"347",3854,47,825.072070893738
"348",4863,47,796.177045549619
"349",4864,47,374.200127011286
"350",4865,47,549.462306976317
"351",4876,47,622.388641010614
"352",4877,47,719.896435546836
"353",4878,47,871.3286094665
"354",637,48,791.448808942476
"355",1598,48,984.885803223
"356",3669,48,857.847485993947
"357",3816,48,622.985080828
"358",3827,48,560.951934814448
"359",4876,48,871.075269197105
"360",4877,48,849.542162443421
"361",4878,48,964.1419677735
"362",4880,48,799.80590454092
"363",4901,48,488.76548740781
"364",4913,48,802.621958086516
"365",1535,49,943.1069335936
"366",1536,49,836.038330078077
"367",1538,49,849.374376569429
"368",2031,49,492.160164989118
"369",3576,49,912.381211714318
"370",4118,49,825.290692647208
"371",4135,49,827.129564557714
"372",4855,49,581.178373673368
"373",4862,49,865.8019866943
"374",1614,50,699.994317153379
"375",2031,50,844.3004516601
"376",2280,50,764.944590906903
"377",2281,50,545.740564383686
"378",2282,50,895.5229237875
"379",2653,50,807.997811453571
"380",3576,50,960.8413696288
"381",4118,50,664.170661129149
"382",4855,50,884.552062988182
"383",4862,50,558.951558274477
"384",1848,51,951.841186523333
"385",1985,51,643.334184957467
"386",1986,51,926.6062988282
"387",2007,51,844.830671443419
"388",3826,51,991.611775716333
"389",3848,51,542.460601806667
"390",1535,52,636.947075980095
"391",1536,52,877.010153377706
"392",2031,52,730.900415420438
"393",2279,52,570.093852703372
"394",3576,52,536.001023391207
"395",3889,52,552.268420900625
"396",3891,52,814.164500236438
"397",3892,52,841.7344824218
"398",4855,52,838.802539966704
"399",1535,53,1000
"400",1537,53,764.880032909122
"401",1595,53,809.295501708969
"402",2401,53,858.11789957675
"403",3555,53,594.970411467054
"404",3556,53,624.750844155565
"405",1535,54,666.772161055541
"406",1536,54,628.652800496417
"407",1538,54,784.542782647232
"408",1595,54,602.704735591471
"409",2031,54,789.292804718
"410",3555,54,826.207603454625
"411",1535,55,664.761427571909
"412",1536,55,757.66212158204
"413",1538,55,890.125233968
"414",1595,55,566.728197391212
"415",2031,55,948.683288574
"416",3555,55,752.792194455163
"417",3556,55,939.6261474608
"418",1601,56,943.1069335936
"419",1831,56,862.293797718364
"420",1832,56,819.07252502425
"421",1847,56,355.486877871282
"422",3071,56,691.782276354263
"423",3669,56,836.240311332348
"424",4865,56,661.23249816892
"425",4902,56,743.878063600403
"426",1830,57,884.583380448158
"427",1831,57,633.583279189215
"428",1832,57,358.923796682667
"429",1847,57,648.398557809673
"430",2393,57,966.7845458985
"431",3536,57,845.975533621643
"432",4861,57,960.9772338865
"433",4865,57,843.825923374571
"434",4902,57,698.764999802014
"435",1535,58,884.548149956583
"436",1536,58,576.66567810055
"437",1538,58,650.813524564063
"438",1595,58,891.543958875778
"439",2031,58,608.531267123744
"440",3576,58,939.656494141
"441",4118,58,971.699066162
"442",4135,58,808.629020690875
"443",4855,58,930.947204589833
"444",1535,59,516.672080993591
"445",1536,59,781.321746826171
"446",2031,59,600.634584314667
"447",2279,59,677.505951775417
"448",3576,59,447.535198343172
"449",3889,59,687.12008819578
"450",3891,59,908.410980224625
"451",3892,59,940.2655181885
"452",4855,59,779.735577790587
"453",79,60,984.885803223
"454",140,60,849.908511075045
"455",141,60,677.367610677
"456",142,60,513.148609867778
"457",199,60,970.634663899667
"458",200,60,855.803161621111
"459",413,60,964.1419677735
"460",1074,60,669.656704711889
"461",2278,60,617.028196587602
"462",2879,60,955.117533365667
"463",3379,60,717.584556034625
"464",1831,61,795.994186212938
"465",1832,61,721.8985580444
"466",1847,61,346.180323211296
"467",3071,61,829.030337684947
"468",3669,61,925.134178161625
"469",4865,61,677.367548089237
"470",4902,61,749.64538803095
"471",1830,62,987.4176635745
"472",1831,62,705.589679378069
"473",1832,62,603.326100349438
"474",1847,62,501.178303033535
"475",3071,62,1000
"476",3536,62,1000
"477",4865,62,721.396237886808
"478",4902,62,764.707964426
"479",1646,63,888.362362132353
"480",2121,63,481.499868458759
"481",2131,63,492.864612960813
"482",2500,63,937.470926920556
"483",2506,63,984.885803223
"484",3882,63,789.090777772818
"485",4114,63,801.581960889944
"486",4873,63,781.323581776638
"487",1848,64,603.422038202681
"488",1985,64,822.176704873796
"489",1986,64,795.079030354769
"490",1987,64,925.264448686091
"491",2007,64,614.361872482275
"492",3538,64,606.428122384179
"493",3826,64,968.0375854492
"494",3848,64,507.740429348417
"495",84,65,643.739117431625
"496",624,65,896.616153492647
"497",1978,65,724.852092645077
"498",2003,65,601.03105879802
"499",2380,65,786.451225729471
"500",2397,65,1000
"501",2503,65,937.632466634167
"502",3557,65,576.031483043295
"503",4152,65,715.975365956583
"504",84,66,606.366894808652
"505",311,66,905.538513184
"506",624,66,955.6777801515
"507",1978,66,504.840263612823
"508",2003,66,737.406629388909
"509",2379,66,903.3467488606
"510",2380,66,456.495551215278
"511",2400,66,852.52376195
"512",2503,66,897.134646767053
"513",3557,66,769.522259223683
"514",4152,66,908.413470459
"515",771,67,607.248752802045
"516",1549,67,724.737690395741
"517",1614,67,994.974761963
"518",2653,67,935.3287780762
"519",3746,67,643.037703766195
"520",771,68,682.40864919025
"521",1614,68,895.341197138217
"522",2653,68,531.855314835217
"523",3746,68,631.849853515598
"524",4118,68,636.073877222382
"525",4135,68,823.398113049921
"526",1614,69,1000
"527",2031,69,632.697111230118
"528",2280,69,1000
"529",2281,69,940.2655181885
"530",3576,69,831.113716125417
"531",4118,69,728.573318246646
"532",4135,69,871.410176595
"533",4855,69,530.282848420705
"534",4862,69,633.744469404203
"535",1535,70,868.597373962313
"536",1536,70,741.198561295174
"537",1538,70,814.4374016655
"538",2031,70,475.646312713625
"539",2279,70,966.7845458985
"540",3576,70,846.224442331421
"541",3889,70,1000
"542",4118,70,871.345225941
"543",4135,70,847.467357288682
"544",4855,70,691.987955577299
"545",4862,70,942.497660319
"546",1614,71,890.398021351091
"547",2031,71,630.236545728587
"548",2280,71,921.546302795375
"549",2281,71,842.016821967222
"550",2653,71,964.1419677735
"551",3576,71,873.801864624
"552",4118,71,641.42166692558
"553",4135,71,871.356781005813
"554",4855,71,655.933455122255
"555",4862,71,521.8125692514
"556",310,72,655.906289707511
"557",1193,72,892.264280046679
"558",2121,72,884.602620442667
"559",2131,72,621.519395351406
"560",2500,72,901.136919294143
"561",3774,72,537.537319228212
"562",3882,72,823.925046648214
"563",4873,72,668.3705364227
"564",310,73,653.047210230939
"565",699,73,952.2124145508
"566",1193,73,805.870304584453
"567",2131,73,892.59207153325
"568",3579,73,886.48862457275
"569",3774,73,529.35214627172
"570",3882,73,971.699066162
"571",4873,73,882.3528564454
"572",1598,74,971.0604248046
"573",1830,74,642.9973487855
"574",1832,74,970.634663899667
"575",1847,74,849.698187255833
"576",3071,74,943.1069335936
"577",3669,74,774.172717445711
"578",3816,74,788.98004516592
"579",4861,74,749.355166211494
"580",4902,74,486.869285708582
"581",40,75,766.264438026816
"582",111,75,381.986199101354
"583",215,75,864.092086791938
"584",1623,75,861.959821428571
"585",2881,75,698.315158843969
"586",2882,75,688.36168162025
"587",3010,75,940.145458984267
"588",3173,75,777.543238146448
"589",3381,75,984.885803223
"590",4840,75,756.866768360078
"591",40,76,643.5842559814
"592",112,76,955.477325439375
"593",1044,76,1000
